,time,depth,mag,place
0,"Ryukyu Islands, Japan",10,5.3,"Ryukyu Islands, Japan"
1,"Off East Coast of Honshu, Japan",10,4.8,"Off East Coast of Honshu, Japan"
2,"Near East Coast of Honshu, Japan",53,5.1,"Near East Coast of Honshu, Japan"
3,"Bonin Islands, Japan Region",461,4.5,"Bonin Islands, Japan Region"
4,"Off East Coast of Honshu, Japan",10,4.7,"Off East Coast of Honshu, Japan"
5,"Off East Coast of Honshu, Japan",10,5.0,"Off East Coast of Honshu, Japan"
6,"Off East Coast of Honshu, Japan",10,4.9,"Off East Coast of Honshu, Japan"
7,"Near East Coast of Honshu, Japan",41,4.8,"Near East Coast of Honshu, Japan"
8,"Near East Coast of Honshu, Japan",103,4.7,"Near East Coast of Honshu, Japan"
9,"Off East Coast of Honshu, Japan",10,4.6,"Off East Coast of Honshu, Japan"
10,"Near East Coast of Honshu, Japan",60,4.8,"Near East Coast of Honshu, Japan"
11,"Southwestern Ryukyu Islands, Japan",58,4.8,"Southwestern Ryukyu Islands, Japan"
12,"Off East Coast of Honshu, Japan",10,4.7,"Off East Coast of Honshu, Japan"
13,"Off East Coast of Honshu, Japan",10,4.8,"Off East Coast of Honshu, Japan"
14,"Near East Coast of Honshu, Japan",54,4.2,"Near East Coast of Honshu, Japan"
15,"Ryukyu Islands, Japan",133,4.8,"Ryukyu Islands, Japan"
16,"Ryukyu Islands, Japan",10,4.9,"Ryukyu Islands, Japan"
17,"Ryukyu Islands, Japan",52,4.6,"Ryukyu Islands, Japan"
18,"Ryukyu Islands, Japan",33,5.0,"Ryukyu Islands, Japan"
19,"Near East Coast of Honshu, Japan",50,4.8,"Near East Coast of Honshu, Japan"
20,Eastern Sea of Japan,285,4.3,Eastern Sea of Japan
21,"Southeast of Honshu, Japan",10,4.9,"Southeast of Honshu, Japan"
